407	[[[2047.8  1035.    699.24]]]
408	[[[2046.6001  1035.       936.72003]]]
409	[[[2046.6001 1036.2001  920.2   ]]]
410	[[[2047.8 1035.   699.4]]]
411	[[[2047.8  1035.    699.28]]]
412	[[[2046.6001 1036.2001  920.4   ]]]
413	[[[2046.6001 1036.2001  920.2   ]]]
414	[[[2047.8    1036.2001  699.44  ]]]
415	[[[2046.6001  1037.4      925.92004]]]
416	[[[2047.8     1037.4      926.80005]]]
417	[[[2046.6001 1036.2001  920.64  ]]]
418	[[[2047.8    1036.2001  699.44  ]]]
419	[[[2046.6001 1036.2001  936.48  ]]]
420	[[[2047.8    1038.6001  926.6   ]]]
421	[[[2047.8  1037.4   699.92]]]
422	[[[2047.8  1037.4   695.44]]]
423	[[[2046.6001 1039.8     927.84  ]]]
424	[[[2047.8  1037.4   699.52]]]
425	[[[2047.8    1038.6001  699.88  ]]]
426	[[[2049.   1037.4   699.56]]]
427	[[[2049.     1038.6001  699.72  ]]]
428	[[[2051.4001 1039.8     924.44  ]]]
429	[[[2046.6001 1038.6001  920.84  ]]]
430	[[[2045.4    1042.2001  923.88  ]]]
431	[[[2047.8  1039.8   926.76]]]
432	[[[2046.6001 1039.8     926.12  ]]]
433	[[[2050.2002 1042.2001  924.76  ]]]
434	[[[2047.8    1038.6001  695.36  ]]]
435	[[[2047.8    1038.6001  695.2   ]]]
436	[[[2047.8  1041.    927.76]]]
437	[[[2049.     1038.6001  699.6   ]]]
438	[[[2047.8  1039.8   695.44]]]
439	[[[2046.6001 1038.6001  926.76  ]
  [ 899.4    1141.8     690.48  ]]]
440	[[[2049.   1039.8   695.52]]]
441	[[[2047.8  1041.    927.08]]]
442	[[[2049.   1039.8   695.12]]]
443	[[[2047.8     1039.8      937.56006]]]
444	[[[2050.2002 1037.4     697.24  ]]]
445	[[[2049.   1039.8   699.88]]]
446	[[[2047.8  1043.4   928.48]]]
447	[[[2049.  1039.8  700. ]]]
448	[[[2047.8    1044.6001  924.28  ]]]
449	[[[2052.6     1042.2001   924.92004]]]
450	[[[2049.     1042.2001  928.12  ]]]
451	[[[2049.      1042.2001   927.92004]]]
452	[[[2047.8    1042.2001  928.2   ]]]
453	[[[2049.   1039.8   700.24]]]
454	[[[2052.6     1042.2001   924.92004]]]
455	[[[2046.6001 1044.6001  924.68  ]]]
456	[[[2046.6001 1044.6001  925.12  ]]]
457	[[[2047.8  1039.8   927.24]]]
458	[[[2047.8  1039.8   938.12]]]
459	[[[2049.   1039.8   700.56]]]
460	[[[2049.   1039.8   695.88]]]
461	[[[2047.8     1039.8      921.83997]]]
462	[[[2049.   1039.8   700.84]]]
463	[[[2050.2002 1039.8     696.    ]]]
464	[[[2049.   1039.8   696.08]]]
465	[[[2050.2002 1039.8     696.2   ]]]
466	[[[2049.   1039.8   696.24]]]
467	[[[2047.8  1039.8   938.48]]]
468	[[[2047.8  1039.8   921.88]]]
469	[[[2050.2002 1039.8     700.36  ]]]
470	[[[2047.8  1041.    927.32]]]
471	[[[2050.2002 1038.6001  696.44  ]]]
472	[[[2050.2002 1036.2001  697.88  ]]]
473	[[[2050.2002 1036.2001  698.16  ]]]
474	[[[2047.8     1039.8      927.56006]]]
475	[[[2049.   1039.8   921.96]]]
476	[[[2050.2002 1038.6001  700.68  ]]]
477	[[[2049.     1038.6001  922.2   ]]]
478	[[[2050.2002 1038.6001  701.12  ]]]
479	[[[2050.2002 1038.6001  696.08  ]]]
480	[[[2051.4001 1041.      698.76  ]]]
481	[[[2050.2002 1038.6001  696.16  ]]]
482	[[[2049.     1038.6001  938.44  ]]]
483	[[[2050.2002 1039.8     928.96  ]]]
484	[[[2049.     1038.6001  921.96  ]]]
485	[[[2055.   1039.8   932.44]]]
486	[[[2052.6    1042.2001  926.48  ]]]
487	[[[2050.2002 1037.4     700.84  ]]]
488	[[[2049.     1038.6001  928.12  ]]]
489	[[[2050.2002 1037.4     700.96  ]]]
490	[[[2049.      1039.8      927.72003]]]
491	[[[2050.2002 1038.6001  701.24  ]]]
492	[[[2051.4001 1038.6001  700.6   ]]]
493	[[[2050.2002 1039.8     928.52  ]]]
494	[[[2051.4001 1041.      699.12  ]]]
495	[[[2050.2002  1035.       925.16003]]]
496	[[[2050.2002 1038.6001  928.36  ]]]
497	[[[2051.4001 1038.6001  701.48  ]]]
498	[[[2049.      1042.2001   925.83997]]]
499	[[[2050.2002 1037.4     939.24  ]]]
500	[[[2053.8    1036.2001  699.36  ]]]
501	[[[2051.4001 1037.4     701.52  ]]]
502	[[[2049.      1042.2001   925.72003]]]
503	[[[2050.2002  1037.4      939.04004]]]
504	[[[2051.4001 1037.4     696.92  ]]]
505	[[[2049.      1041.       925.83997]]]
506	[[[2051.4001 1039.8     699.    ]]]
507	[[[2050.2002 1038.6001  928.88  ]]]
508	[[[2055.      1038.6001   926.80005]]]
509	[[[2051.4001 1037.4     696.92  ]]]
510	[[[2050.2002 1037.4     922.88  ]]]
511	[[[2051.4001 1035.      926.4   ]]]
512	[[[2050.2002  1038.6001   929.16003]]]
513	[[[2052.6  1033.8   698.68]]]
514	[[[2052.6  1037.4   696.72]]]
515	[[[2051.4001 1035.      925.76  ]]]
516	[[[2051.4001 1037.4     701.92  ]]]
517	[[[2055.   1039.8   926.88]]]
518	[[[2051.4001 1038.6001  929.12  ]]]
519	[[[2053.8  1041.    927.48]]]
520	[[[2051.4001 1038.6001  929.2   ]]]
521	[[[2049.      1041.       926.80005]]]
522	[[[2050.2002 1037.4     928.88  ]]]
523	[[[2051.4001  1038.6001   929.56006]]]
524	[[[2050.2002 1037.4     923.52  ]]]
525	[[[2050.2002 1038.6001  929.44  ]]]
526	[[[2051.4001 1036.2001  701.6   ]]]
527	[[[2050.2002 1041.      926.68  ]]]
528	[[[2050.2002  1037.4      939.56006]]]
529	[[[2055.      1038.6001   926.92004]]]
530	[[[2051.4001 1037.4     701.76  ]]]
531	[[[2051.4001 1037.4     697.16  ]]]
532	[[[2050.2002 1038.6001  929.2   ]]]
533	[[[2051.4001 1038.6001  929.2   ]]]
534	[[[2051.4001 1035.      926.24  ]]]
535	[[[2050.2002 1037.4     923.28  ]]]
536	[[[2055.     1038.6001  927.24  ]]]
537	[[[2050.2002 1038.6001  928.88  ]]]
538	[[[2051.4001  1038.6001   929.88   ]
  [ 945.00006 1237.8      822.96   ]]]
539	[[[2051.4001 1035.      926.24  ]]]
540	[[[2055.     1038.6001  927.48  ]]]
541	[[[2050.2002 1041.      926.76  ]]]
542	[[[2051.4001 1037.4     697.16  ]]]
543	[[[2051.4001 1038.6001  929.4   ]]]
544	[[[2055.   1039.8   927.08]]]
545	[[[2053.8  1033.8   699.24]]]
546	[[[2056.2002 1038.6001  927.32  ]]]
547	[[[2053.8    1036.2001  697.32  ]]]
548	[[[2053.8  1033.8   698.96]]]
549	[[[2052.6  1037.4   697.68]]]
550	[[[2053.8    1036.2001  697.36  ]]]
551	[[[2052.6    1036.2001  701.84  ]]]
552	[[[2053.8  1033.8   699.88]]]
553	[[[2052.6  1037.4   929.12]]]
554	[[[2052.6  1037.4   929.76]]]
555	[[[2053.8  1037.4   929.44]]]
556	[[[2053.8    1038.6001  699.84  ]]]
557	[[[2053.8    1036.2001  701.88  ]]]
558	[[[2052.6 1037.4  930.2]]]
559	[[[2053.8    1036.2001  701.6   ]]]
560	[[[2051.4001 1036.2001  929.2   ]]]
561	[[[2051.4001  1036.2001   929.56006]]]
562	[[[2053.8  1035.    697.48]]]
563	[[[2052.6    1036.2001  929.48  ]]]
564	[[[2052.6    1036.2001  929.2   ]]]
565	[[[2051.4001 1035.      699.76  ]]]
566	[[[2053.8    1036.2001  702.28  ]]]
567	[[[2055.     1032.6001  699.36  ]]]
568	[[[2051.4001  1038.6001   926.16003]]]
569	[[[2052.6 1035.   923. ]]]
570	[[[2052.6  1035.    923.24]]]
571	[[[2052.6 1035.   923.6]]]
572	[[[2052.6  1035.    923.52]]]
573	[[[2053.8  1033.8   702.48]]]
574	[[[2051.4001 1033.8     700.12  ]]]
575	[[[2051.4001  1038.6001   926.72003]]]
576	[[[2051.4001 1038.6001  926.64  ]]]
577	[[[2052.6    1036.2001  929.28  ]]]
578	[[[2052.6    1036.2001  923.24  ]]]
579	[[[2051.4001  1036.2001   929.83997]]]
580	[[[2053.8    1036.2001  701.88  ]]]
